"","year","state","county","total","male","female","over 65 male","over 65 female","under 21 male","under 21 female"
"136",2009,"16","031",21154,10680,10474,1251,1610,4282,3869
"137",2009,"16","033",984,503,481,81,76,173,156
"138",2009,"16","035",8192,4527,3665,826,873,942,753
"139",2009,"16","037",4129,2196,1933,348,340,640,416
"140",2009,"16","039",28791,15330,13461,1136,1292,5505,4825
"141",2009,"16","041",12272,6245,6027,674,818,2549,2358
"142",2009,"16","043",12537,6469,6068,750,788,2300,2195
"143",2009,"16","045",16355,8143,8212,1327,1511,2454,2435
"144",2009,"16","047",14320,7459,6861,1048,1166,2620,2288
"145",2009,"16","049",15286,7931,7355,1455,1444,2084,1890
"146",2009,"18","045",17075,8588,8487,1201,1680,2468,2303
"147",2009,"18","047",23074,11547,11527,1286,1742,3655,3624
"148",2009,"18","049",20251,9898,10353,1331,1799,3019,2787
"149",2009,"18","051",32834,16337,16497,2005,2942,4872,4689
"150",2009,"18","053",69203,33371,35832,4593,6654,10861,10294
"151",2009,"18","055",32715,16081,16634,2074,2996,4843,4508
"152",2009,"18","057",261328,129339,131989,9181,11847,44191,42303
"153",2009,"18","059",65777,32622,33155,3634,4542,10344,9806
"154",2009,"18","061",36973,18255,18718,1986,2635,5393,5204
"155",2009,"18","063",133949,67351,66598,5971,7688,20982,19930
"156",2009,"18","065",47481,24104,23377,3089,4398,6612,6040
"157",2009,"18","067",83685,40395,43290,5158,7367,12251,11866
"158",2009,"18","069",37890,18408,19482,2290,3468,5708,5726
"159",2009,"18","071",42131,20896,21235,2374,3511,6221,5981
"160",2009,"18","073",32197,15988,16209,1872,2563,5348,5089
"161",2009,"18","075",21270,10490,10780,1314,1924,3477,3144
"162",2009,"18","077",32628,16033,16595,1888,2659,4886,4981
"163",2009,"18","079",28052,13955,14097,1394,1846,4415,3997
"164",2009,"18","081",136081,66714,69367,6522,9400,21905,20504
"165",2009,"18","083",37970,18728,19242,2388,3652,6270,5305
"166",2009,"18","085",76096,37967,38129,4129,5482,11859,11417
"167",2009,"18","087",36857,18737,18120,1896,2296,7291,6491
"168",2009,"18","089",491203,236297,254906,26264,37406,78846,76263
"169",2009,"18","091",110102,56519,53583,6326,8834,16163,14902
"170",2009,"18","093",45891,22470,23421,3051,4302,6784,6235
"171",2009,"18","095",131015,65146,65869,8444,11837,19154,17836
"172",2009,"18","097",878881,425702,453179,37258,57496,138610,132894
"173",2009,"18","099",46605,23250,23355,2518,3745,7767,7217
"174",2009,"18","101",10067,5147,4920,670,841,1548,1382
"175",2009,"18","103",36508,18943,17565,2190,3034,5605,5029
"176",2009,"18","105",127855,62616,65239,5370,7419,24194,24056
"177",2009,"18","107",37828,18838,18990,2431,3348,6134,5500
"178",2009,"18","109",70179,34884,35295,3627,4643,10870,10308
"179",2009,"18","111",13974,6997,6977,905,1095,1925,1875
"180",2009,"18","113",47729,24029,23700,2264,3121,7785,7537
"181",2009,"18","115",5871,2908,2963,384,472,787,761
"182",2009,"18","117",19536,9603,9933,1263,1690,2823,2909
"183",2009,"18","119",22371,11099,11272,1435,1702,3235,3112
"184",2009,"18","121",17094,8032,9062,1151,1407,2213,2113
"185",2009,"18","123",18872,10098,8774,1182,1622,2698,2403
"186",2009,"18","125",12496,6275,6221,871,1148,1689,1567
"187",2009,"18","127",160073,78992,81081,8099,10705,24606,23829
"188",2009,"18","129",26244,13121,13123,1488,1924,3942,3634
"189",2009,"18","131",13739,6870,6869,931,1252,2090,2030
"190",2009,"18","133",36993,19456,17537,2080,2617,5754,5664
"191",2009,"18","135",25914,12708,13206,1785,2475,3807,3572
"192",2009,"18","137",27378,13489,13889,1677,2238,4323,4206
"193",2009,"18","139",17425,8516,8909,1138,1589,2551,2530
"194",2009,"18","141",266400,128689,137711,13811,20772,44108,43600
"195",2009,"18","143",23646,11727,11919,1290,1666,3448,3359
"196",2009,"18","145",43964,22047,21917,2530,3329,6650,6290
"197",2009,"18","147",20167,10192,9975,1273,1601,2938,2762
"198",2009,"18","149",23398,11563,11835,1575,2012,3629,3324
"199",2009,"18","151",33544,16962,16582,1899,2455,5158,4780
"200",2009,"18","153",21316,11518,9798,1203,1718,3221,2697
"201",2009,"18","155",9627,4843,4784,576,698,1384,1391
"202",2009,"18","157",162527,83273,79254,6380,8898,33774,29733
"203",2009,"18","159",16055,7925,8130,1016,1458,2412,2225
"204",2009,"18","161",7083,3475,3608,444,618,1104,946
"205",2009,"18","163",174544,82803,91741,9814,15664,24921,25453
"206",2009,"18","165",16301,8032,8269,1022,1539,2297,2066
"207",2009,"18","167",105434,52586,52848,5465,8808,17502,16464
"208",2009,"18","169",33004,16030,16974,2363,3386,4942,4711
"209",2009,"18","171",8573,4348,4225,538,673,1353,1133
"210",2009,"18","173",57065,28307,28758,3055,3895,8839,7957
"211",2009,"18","175",27780,13944,13836,1562,2020,4223,3980
"212",2009,"18","177",68151,32550,35601,4544,6703,9860,9715
"213",2009,"18","179",27720,13747,13973,1661,2447,4157,3918
"214",2009,"18","181",23840,11795,12045,1661,2318,3439,3287
"215",2009,"18","183",32504,16236,16268,1768,2532,4893,4610
"216",2009,"19","001",7555,3742,3813,742,970,1055,951
"217",2009,"19","003",4072,1991,2081,334,518,487,490
"218",2009,"16","051",22892,11593,11299,932,1171,4727,4481
"219",2009,"16","053",20142,10244,9898,1043,1218,3769,3682
"220",2009,"16","055",133461,65919,67542,8552,9833,20371,19441
"221",2009,"16","057",37511,19222,18289,1692,2023,7290,6185
"222",2009,"16","059",7818,3856,3962,769,747,1024,1070
"223",2009,"16","061",3645,1803,1842,372,449,469,467
"224",2009,"16","063",4533,2292,2241,263,283,713,796
"225",2009,"16","065",37120,17786,19334,958,1171,7874,10913
"226",2009,"16","067",18800,9540,9260,1195,1492,3576,3090
"227",2009,"16","069",38691,19062,19629,3088,3784,5411,5142
"228",2009,"16","071",4148,2143,2005,305,369,849,661
"229",2009,"16","073",10995,5776,5219,693,759,1912,1739
"230",2009,"16","075",22534,11181,11353,1412,1707,3878,3758
"231",2009,"16","077",7689,3830,3859,393,459,1338,1529
"232",2009,"16","079",12794,6412,6382,1108,1285,1602,1408
"233",2009,"16","081",8422,4511,3911,241,221,1349,1155
"234",2009,"16","083",72578,35621,36957,4507,5903,11842,11753
"235",2009,"16","085",8667,4531,4136,659,613,1040,854
"236",2009,"16","087",10011,4982,5029,831,1061,1530,1391
"237",2009,"17","001",66892,32250,34642,4725,6976,9658,9535
"238",2009,"17","003",8254,3926,4328,568,990,1205,1220
"239",2009,"17","005",18173,9476,8697,1142,1581,2935,2611
"240",2009,"17","007",52400,26667,25733,2337,3202,9577,8454
"241",2009,"17","009",6593,4286,2307,342,456,789,567
"242",2009,"17","011",34795,17055,17740,2591,3533,4938,4817
"243",2009,"17","013",5076,2545,2531,433,534,669,653
"244",2009,"17","015",15878,7867,8011,1431,1839,2105,1955
"245",2009,"17","017",13575,6802,6773,835,1232,2215,1968
"246",2009,"17","019",192135,97151,94984,8041,10886,38638,35218
"247",2009,"17","021",34543,17141,17402,2416,3621,4969,4554
"248",2009,"17","023",16778,8256,8522,1224,1761,2403,2175
"249",2009,"17","025",13729,6634,7095,998,1466,2035,1855
"250",2009,"17","027",36235,18829,17406,2277,3221,5371,4816
"251",2009,"17","029",52144,25021,27123,2858,4220,9607,9789
"252",2009,"17","031",5257001,2555964,2701037,246260,367606,808082,775056
"253",2009,"17","033",19545,9917,9628,1386,1938,2878,2654
"254",2009,"17","035",10802,5287,5515,693,1024,1568,1610
"255",2009,"17","037",104279,51841,52438,4041,5708,19730,19735
"256",2009,"17","039",16290,7953,8337,1066,1524,2225,2244
"257",2009,"17","041",19436,9513,9923,1231,1824,3105,2997
"258",2009,"17","043",925530,458672,466858,41861,57906,144812,138197
"259",2009,"17","045",18750,8939,9811,1291,2129,2470,2489
"260",2009,"17","047",6526,3193,3333,495,727,788,780
"261",2009,"17","049",34329,17040,17289,2117,3078,5699,5074
"262",2009,"17","051",21015,10710,10305,1375,1961,3100,2889
"263",2009,"17","053",13968,6849,7119,967,1497,2198,1952
"264",2009,"17","055",39301,18986,20315,2936,4328,5647,5289
"265",2009,"17","057",36860,19113,17747,2712,3830,4883,4417
"266",2009,"17","059",5921,2901,3020,479,649,715,692
"267",2009,"17","061",13765,6774,6991,979,1393,1963,1928
"268",2009,"17","063",46513,23390,23123,2204,2949,7855,6930
"269",2009,"17","065",8186,3958,4228,681,930,1117,1055
"270",2009,"17","067",18720,9148,9572,1441,2112,2585,2395
"271",2009,"17","069",4470,2209,2261,406,524,465,579
"272",2009,"17","071",7550,3737,3813,606,798,823,838
"273",2009,"17","073",49523,24436,25087,3421,4811,7255,6738
"274",2009,"17","075",30017,14768,15249,2358,3178,4382,4009
"275",2009,"17","077",58526,29710,28816,2692,4003,11540,10463
"276",2009,"17","079",9645,4847,4798,703,901,1354,1316
"277",2009,"17","081",40063,20641,19422,2657,3629,5609,5112
"278",2009,"17","083",22412,11017,11395,1448,1956,3288,3310
"279",2009,"17","085",22160,11170,10990,2004,2505,2801,2516
"280",2009,"17","087",13653,8274,5379,886,1027,1868,1417
"281",2009,"17","089",494371,250304,244067,18315,24091,89378,83861
"282",2009,"17","091",111244,54315,56929,5914,8490,18591,17415
"283",2009,"17","093",94070,47362,46708,3022,3926,16792,16125
"284",2009,"17","095",52077,26126,25951,3872,5511,7385,6811
"285",2009,"17","097",702558,352765,349793,29686,37684,124639,114939
"286",2009,"17","099",112293,55369,56924,7373,10544,16484,16021
"287",2009,"17","101",16550,8925,7625,1130,1706,2329,1881
"288",2009,"17","103",34994,17808,17186,2286,3082,5067,4518
"289",2009,"17","105",37965,19050,18915,2421,3509,5474,5040
"290",2009,"17","107",29942,15130,14812,1781,2687,4395,4513
"291",2009,"17","109",32907,16146,16761,1814,2651,6300,6639
"292",2009,"17","111",312946,157418,155528,13512,17520,52334,49538
"293",2009,"17","113",163686,79521,84165,6889,9599,28474,30193
"294",2009,"17","115",108772,52014,56758,7116,10230,15980,15526
"295",2009,"17","117",48148,23759,24389,3460,4704,7106,6581
"296",2009,"17","119",266886,129434,137452,15306,22048,39465,37965
"297",2009,"17","121",39488,19069,20419,2824,4093,5786,5410
"298",2009,"17","123",12831,6355,6476,996,1396,1838,1633
"299",2009,"17","125",15075,7333,7742,1162,1531,2066,2050
"300",2009,"17","127",15081,7168,7913,1057,1601,1985,2049
"301",2009,"17","129",12460,6093,6367,786,1045,1744,1735
"302",2009,"17","131",16440,8178,8262,1232,1586,2291,2144
"303",2009,"17","133",32358,16011,16347,1734,2531,4948,4739
"304",2009,"17","135",29782,15342,14440,2073,3028,4096,3624
"305",2009,"17","137",35300,17675,17625,2278,3360,5292,4762
"306",2009,"17","139",14344,6997,7347,1009,1494,2069,2028
"307",2009,"17","141",54841,27385,27456,3363,4318,8458,8181
"308",2009,"17","143",183474,88470,95004,10315,15090,29115,27941
"309",2009,"17","145",22542,12339,10203,1413,2019,3250,2462
"310",2009,"17","147",16499,8147,8352,1154,1560,2353,2154
"311",2009,"17","149",16484,8174,8310,1305,1855,2382,2191
"312",2009,"17","151",4071,1982,2089,399,458,588,481
"313",2009,"17","153",6430,3126,3304,423,615,996,938
"314",2009,"17","155",5977,2990,2987,445,551,880,801
"315",2009,"17","157",32851,18090,14761,2068,2997,4182,3889
"316",2009,"17","159",15621,7467,8154,1229,1793,2098,2034
"317",2009,"17","161",146670,71569,75101,9546,13515,21187,20420
"318",2009,"17","163",261268,124850,136418,12826,19995,41822,40009
"319",2009,"17","165",25906,12567,13339,1880,3057,3956,3417
"320",2009,"17","167",194049,92857,101192,10660,15961,28462,26936
"321",2009,"17","169",6917,3457,3460,559,784,890,866
"322",2009,"17","171",5238,2576,2662,401,531,677,661
"323",2009,"17","173",21854,10791,11063,1797,2292,3136,2819
"324",2009,"17","175",6076,2917,3159,482,714,816,816
"325",2009,"17","177",46821,22503,24318,3370,4850,6590,6550
"326",2009,"17","179",130789,64751,66038,8623,11594,18636,17696
"327",2009,"17","181",18078,8771,9307,1309,1863,2444,2360
"328",2009,"17","183",80926,39990,40936,5499,7671,11985,11687
"329",2009,"17","185",12199,6059,6140,867,1242,1768,1613
"330",2009,"17","187",17551,8501,9050,1205,1700,2851,2799
"331",2009,"17","189",14725,7339,7386,1037,1328,2040,1973
"332",2009,"17","191",16505,8020,8485,1308,1862,2249,2129
"333",2009,"17","193",14772,7089,7683,1193,1786,1789,1801
"334",2009,"17","195",59059,28966,30093,4162,5860,8792,8246
"335",2009,"17","197",664361,333408,330953,23917,31781,117133,110883
"336",2009,"17","199",64212,31234,32978,4357,6161,8510,8367
"337",2009,"17","201",295803,145671,150132,16031,22473,46425,43842
"338",2009,"17","203",37950,18752,19198,2263,3092,6012,5713
"339",2009,"18","001",33955,16893,17062,1915,2769,6282,5798
"340",2009,"18","003",348646,171008,177638,16552,23509,56914,54814
"341",2009,"18","005",74681,36810,37871,4325,5952,11336,11063
"342",2009,"18","007",8723,4356,4367,579,837,1423,1278
"343",2009,"18","009",13254,6580,6674,928,1304,1933,1734
"344",2009,"18","011",53931,26636,27295,2585,3714,9177,8386
"345",2009,"18","013",14724,7518,7206,1075,1135,1975,1669
"346",2009,"18","015",19863,9959,9904,1250,1604,2970,2697
"347",2009,"18","017",39263,19530,19733,2331,3227,6143,5592
"348",2009,"18","019",105280,51361,53919,5423,7924,15183,14373
"349",2009,"18","021",26682,13100,13582,1620,2336,3837,3825
"350",2009,"18","023",34081,16759,17322,1894,2929,5570,5480
